,operator_address,name,current_stake,foundation_stake,stake_score,uptime_score,jailed_score,gov_score,community_score,eco_score,commission,distr_before_comm_adj,new_distribution,new_foundation_stake,redeleg
19,regenvaloper1x7a0ltsxnpx9y3rt7s45q33a83nv7dlf5t7pkl,lux8net,579053.034822,521787.0,0.8359268982318202,0.9144254278728606,1,0.125,0.3,0,0.05,0.013744479531663585,0.019795559152579002,494888.97881447506,-26898.021185524936
18,regenvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vphdg2n6,kytzu,568927.2313,358927.0,0.8115839742490403,0.9991442542787212,1,0.875,0.3,0,0.1,0.016209777150536002,0.011673108526748285,291827.71316870715,-67099.28683129285
17,regenvaloper1ws69ulanu85flhnkwgsdpr3yj8sa5h57p37v30,Cyberili,566929.63835,358927.0,0.7858198224344681,0.9497555012224981,1,0.875,0.3,0,0.1,0.01573393636726994,0.011330442427582698,283261.0606895675,-75665.93931043253
16,regenvaloper1c4y3j05qx652rnxm5mg4yesqdkmhz2f6dl7hhk,ECO Stake 🌱,559914.206124,0.0,0.7586344427881041,0.9997555012224981,1,0.0,0.3,0,0.05,0.013189493089190669,0.018996237001053178,474905.92502632947,474905.92502632947
15,regenvaloper15t7cmpmlgzllvs2wv4zly3lhsd0yd02ktppmsm,Citadel.one,371475.229337,0.0,0.730027835309948,0.9954767726161375,1,1.0,0.8,0,0.05,0.018544199268730754,0.02670838082414753,667709.5206036882,667709.5206036882
14,regenvaloper1e79eryjjx8ec0j7r4wz6xlxevlavqacmnucwk0,Lex_Prime,319141.128936,268351.0,0.7,0.9977995110024387,1,0.875,0.3,0,0.1,,,0.0,-268351.0
13,regenvaloper1407d25jg9p565nrexr8ygtaz3smuh63qg597a4,Bi23 Labs,274865.928297,245501.0,0.46581632653061233,0.9640586797066022,1,1.0,0.3,0,0.03,0.013531822597190045,0.032482131468102075,812053.2867025519,566552.2867025519
12,regenvaloper1tkcu62sr47qy3gyh2kwy448q649nhqafuzgxwk,Cat Boss,261508.124823,184566.0,0.24897959183673457,0.9904645476772602,1,0.875,0.3,0,0.05,0.011508923295095029,0.016575787489493454,414394.68723733636,229828.68723733636
11,regenvaloper1gjvu75cq6qxyrtdv66lx9xe92jw9gqdetagaze,StakeLab,249507.25982,215198.0,0.04948979591836733,0.9996332518337416,1,0.625,0.3,0,0.05,0.009168513499213918,0.01320499993446755,330124.99836168875,114926.99836168875
10,regenvaloper17wzcetpuwjkcrk6fmg86ryv389882l35x503c2,Liuhua | PerStake,239886.45636919816,215198.0,-0.13265306122448983,0.9996332518337416,1,0.125,0.3,0,0.1,0.006184155329418343,0.004453381168425383,111334.52921063459,-103863.47078936541
9,regenvaloper1vn6sachfy4aacyl5gwc4ykkn6kaqsqv3vzjd8t,BloClick | autocompound on restake,230693.365247,92755.0,-0.2974489795918367,0.9974327628361803,1,0.875,0.8,0,0.1,0.009684454505726652,0.0069740433454364625,174351.08363591155,81596.08363591155
8,regenvaloper1rg2u2r9e8slqvp23vkm9mnu26zdkz9emsy0d4g,Sunshine Validation #solarpower,228019.276436,0.0,-0.4448979591836735,0.9782396088019609,1,0.0,0.5,0,0.0993,0.00418140199049099,0.0030323697256860243,75809.2431421506,75809.2431421506
7,regenvaloper1vksj7nqkd89uvc4kh8f5mh4f3235megmcgjfmq,FreshREGEN,226523.93435,0.0,-0.575,0.9496332518337416,1,0.625,0.3,0,0.0749,0.0037358841293031585,0.0035918737151994806,89796.84287998702,89796.84287998702
6,regenvaloper1wu92z5y3sk0rnywenqudv69eqsq0gr4unhq04g,AM Solutions ♻️,213343.956699,0.0,-0.6877551020408164,0.9638141809291003,1,,0.3,0,0.1,0.0,0.0,0.0,0.0
5,regenvaloper1zmjm2cujkvf6xpwlxtx2uqja5rgln7dxs3naz9,Blockapsis,191080.289175,0.0,-0.7831632653061225,0.9789731051344721,1,0.3333333333333333,0.3,0,0.1,0.0013078810203768399,0.000941841269571575,23546.031739289374,23546.031739289374
4,regenvaloper1agd2hymh6h6dr0r7pt9u45kq4hwwx8pk3hvv4w,ART3MIS.CLOUD,159339.745263,138210.0,-0.8612244897959184,0.9998777506112491,1,0.75,0.3,0,0.05,0.002004399487044822,0.0028868469351485343,72171.17337871336,-66038.82662128664
3,regenvaloper1vmps9sn7vlgnd5latct889qyh62ulmgk72umu8,Allnodes.com ⚡️ Auto-compound (Ledger or Keplr),149603.785215,0.0,-0.9219387755102041,0.995354523227381,1,1.0,0.3,0,0.05,0.00221672679249952,0.0031926524569329926,79816.31142332482,79816.31142332482
2,regenvaloper1vnxgn4uwtr0ug8z3u07c26chxn5a95lggwxtzv,Validator.run | 100% Slash Protected,145976.6136863012,39059.71673075865,-0.9653061224489796,0.9856968215158903,1,0.75,0.8,0,0.05,0.003727188958212607,0.005368103559335482,134202.58898338705,95142.8722526284
1,regenvaloper1v8f3kfdwr0jqvlu2gz5adf5e5p67hlpswmesr9,greenRegen1,136860.324609,107599.0,-0.9913265306122448,0.4921760391198011,1,0.875,0.3,0,0.075,0.0,0.0,0.0,-107599.0
0,regenvaloper19yvvl0cz068qu4sg7v2pxln0cqm8nt779nyh4m,Noderunners,136242.2619871511,123070.30703070306,-1.0,0.9899755501222509,1,1.0,0.0,0,0.05,0.0,0.0,0.0,-123070.30703070306
